area,date,interest,isPartial,brand,super_brand,year,month,week,is_zero,estimated_min_interest,estimated_interest
ZA,2017-01-01,17,False,Sealy,own,2017,1,52,0,3.5,17.0
ZA,2017-01-08,16,False,Sealy,own,2017,1,1,0,3.5,16.0
ZA,2017-01-15,24,False,Sealy,own,2017,1,2,0,3.5,24.0
ZA,2017-01-22,0,False,Sealy,own,2017,1,3,1,3.5,3.5
ZA,2017-01-29,15,False,Sealy,own,2017,1,4,0,3.5,15.0
ZA,2017-02-05,8,False,Sealy,own,2017,2,5,0,3.5,8.0
ZA,2017-02-12,22,False,Sealy,own,2017,2,6,0,3.5,22.0
ZA,2017-02-19,8,False,Sealy,own,2017,2,7,0,3.5,8.0
ZA,2017-02-26,36,False,Sealy,own,2017,2,8,0,3.5,36.0
ZA,2017-03-05,0,False,Sealy,own,2017,3,9,1,3.5,3.5
ZA,2017-03-12,15,False,Sealy,own,2017,3,10,0,3.5,15.0
ZA,2017-03-19,16,False,Sealy,own,2017,3,11,0,3.5,16.0
ZA,2017-03-26,23,False,Sealy,own,2017,3,12,0,3.5,23.0
ZA,2017-04-02,7,False,Sealy,own,2017,4,13,0,3.5,7.0
ZA,2017-04-09,17,False,Sealy,own,2017,4,14,0,3.5,17.0
ZA,2017-04-16,17,False,Sealy,own,2017,4,15,0,3.5,17.0
ZA,2017-04-23,17,False,Sealy,own,2017,4,16,0,3.5,17.0
ZA,2017-04-30,16,False,Sealy,own,2017,4,17,0,3.5,16.0
ZA,2017-05-07,30,False,Sealy,own,2017,5,18,0,3.5,30.0
ZA,2017-05-14,41,False,Sealy,own,2017,5,19,0,3.5,41.0
ZA,2017-05-21,17,False,Sealy,own,2017,5,20,0,3.5,17.0
ZA,2017-05-28,0,False,Sealy,own,2017,5,21,1,3.5,3.5
ZA,2017-06-04,0,False,Sealy,own,2017,6,22,1,3.5,3.5
ZA,2017-06-11,17,False,Sealy,own,2017,6,23,0,3.5,17.0
ZA,2017-06-18,33,False,Sealy,own,2017,6,24,0,3.5,33.0
ZA,2017-06-25,9,False,Sealy,own,2017,6,25,0,3.5,9.0
ZA,2017-07-02,25,False,Sealy,own,2017,7,26,0,3.5,25.0
ZA,2017-07-09,25,False,Sealy,own,2017,7,27,0,3.5,25.0
ZA,2017-07-16,9,False,Sealy,own,2017,7,28,0,3.5,9.0
ZA,2017-07-23,25,False,Sealy,own,2017,7,29,0,3.5,25.0
ZA,2017-07-30,23,False,Sealy,own,2017,7,30,0,3.5,23.0
ZA,2017-08-06,0,False,Sealy,own,2017,8,31,1,3.5,3.5
