area,date,interest,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2019-02-10,0,False,King Koil,own,2019,2,6,1
ZA,2019-02-10,30,False,sealy posturepedic,own,2019,2,6,0
ZA,2019-02-10,0,False,Forgeron,competitor_brand,2019,2,6,1
ZA,2019-02-10,25,False,Restonic,competitor_brand,2019,2,6,0
ZA,2019-02-10,56,False,Cloud 9,competitor_brand,2019,2,6,0
ZA,2019-02-10,50,False,Rest Assured,competitor_brand,2019,2,6,0
ZA,2019-02-10,0,False,Serta,competitor_brand,2019,2,6,1
ZA,2019-02-10,20,False,Simmons,competitor_brand,2019,2,6,0
ZA,2019-02-10,0,False,Tempur,competitor_brand,2019,2,6,1
ZA,2019-02-10,0,False,Dreamland,competitor_brand,2019,2,6,1
ZA,2019-02-10,0,False,Dunlopillo,competitor_brand,2019,2,6,1
ZA,2019-02-10,42,False,Forty Winks,competitor_brand,2019,2,6,0
ZA,2019-02-10,9,False,Sleepmasters,competitor_brand,2019,2,6,0
ZA,2019-02-17,56,False,Sealy,own,2019,2,7,0
ZA,2019-02-17,0,False,Edblo,own,2019,2,7,1
ZA,2019-02-17,0,False,King Koil,own,2019,2,7,1
ZA,2019-02-17,30,False,sealy posturepedic,own,2019,2,7,0
ZA,2019-02-17,0,False,Forgeron,competitor_brand,2019,2,7,1
ZA,2019-02-17,25,False,Restonic,competitor_brand,2019,2,7,0
ZA,2019-02-17,44,False,Cloud 9,competitor_brand,2019,2,7,0
ZA,2019-02-17,25,False,Rest Assured,competitor_brand,2019,2,7,0
ZA,2019-02-17,27,False,Serta,competitor_brand,2019,2,7,0
ZA,2019-02-17,13,False,Simmons,competitor_brand,2019,2,7,0
ZA,2019-02-17,50,False,Tempur,competitor_brand,2019,2,7,0
ZA,2019-02-17,26,False,Dreamland,competitor_brand,2019,2,7,0
ZA,2019-02-17,0,False,Dunlopillo,competitor_brand,2019,2,7,1
ZA,2019-02-17,0,False,Forty Winks,competitor_brand,2019,2,7,1
ZA,2019-02-17,18,False,Sleepmasters,competitor_brand,2019,2,7,0
ZA,2019-02-24,33,False,Sealy,own,2019,2,8,0
ZA,2019-02-24,18,False,Edblo,own,2019,2,8,0
ZA,2019-02-24,0,False,King Koil,own,2019,2,8,1
ZA,2019-02-24,0,False,sealy posturepedic,own,2019,2,8,1
ZA,2019-02-24,0,False,Forgeron,competitor_brand,2019,2,8,1
ZA,2019-02-24,12,False,Restonic,competitor_brand,2019,2,8,0
ZA,2019-02-24,33,False,Cloud 9,competitor_brand,2019,2,8,0
ZA,2019-02-24,0,False,Rest Assured,competitor_brand,2019,2,8,1
ZA,2019-02-24,0,False,Serta,competitor_brand,2019,2,8,1
ZA,2019-02-24,26,False,Simmons,competitor_brand,2019,2,8,0
ZA,2019-02-24,0,False,Tempur,competitor_brand,2019,2,8,1
ZA,2019-02-24,0,False,Dreamland,competitor_brand,2019,2,8,1
ZA,2019-02-24,0,False,Dunlopillo,competitor_brand,2019,2,8,1
ZA,2019-02-24,0,False,Forty Winks,competitor_brand,2019,2,8,1
ZA,2019-02-24,0,False,Sleepmasters,competitor_brand,2019,2,8,1
ZA,2019-03-03,33,False,Sealy,own,2019,3,9,0
ZA,2019-03-03,18,False,Edblo,own,2019,3,9,0
ZA,2019-03-03,0,False,King Koil,own,2019,3,9,1
ZA,2019-03-03,0,False,sealy posturepedic,own,2019,3,9,1
ZA,2019-03-03,0,False,Forgeron,competitor_brand,2019,3,9,1
ZA,2019-03-03,24,False,Restonic,competitor_brand,2019,3,9,0
ZA,2019-03-03,77,False,Cloud 9,competitor_brand,2019,3,9,0
ZA,2019-03-03,25,False,Rest Assured,competitor_brand,2019,3,9,0
ZA,2019-03-03,27,False,Serta,competitor_brand,2019,3,9,0
ZA,2019-03-03,39,False,Simmons,competitor_brand,2019,3,9,0
ZA,2019-03-03,74,False,Tempur,competitor_brand,2019,3,9,0
ZA,2019-03-03,51,False,Dreamland,competitor_brand,2019,3,9,0
ZA,2019-03-03,0,False,Dunlopillo,competitor_brand,2019,3,9,1
ZA,2019-03-03,0,False,Forty Winks,competitor_brand,2019,3,9,1
ZA,2019-03-03,18,False,Sleepmasters,competitor_brand,2019,3,9,0
ZA,2019-03-10,0,False,Sealy,own,2019,3,10,1
ZA,2019-03-10,0,False,Edblo,own,2019,3,10,1
ZA,2019-03-10,34,False,King Koil,own,2019,3,10,0
ZA,2019-03-10,0,False,sealy posturepedic,own,2019,3,10,1
ZA,2019-03-10,0,False,Forgeron,competitor_brand,2019,3,10,1
ZA,2019-03-10,37,False,Restonic,competitor_brand,2019,3,10,0
ZA,2019-03-10,34,False,Cloud 9,competitor_brand,2019,3,10,0
ZA,2019-03-10,25,False,Rest Assured,competitor_brand,2019,3,10,0
ZA,2019-03-10,27,False,Serta,competitor_brand,2019,3,10,0
ZA,2019-03-10,27,False,Simmons,competitor_brand,2019,3,10,0
ZA,2019-03-10,51,False,Tempur,competitor_brand,2019,3,10,0
ZA,2019-03-10,0,False,Dreamland,competitor_brand,2019,3,10,1
ZA,2019-03-10,0,False,Dunlopillo,competitor_brand,2019,3,10,1
ZA,2019-03-10,0,False,Forty Winks,competitor_brand,2019,3,10,1
ZA,2019-03-10,18,False,Sleepmasters,competitor_brand,2019,3,10,0
ZA,2019-03-17,25,False,Sealy,own,2019,3,11,0
ZA,2019-03-17,20,False,Edblo,own,2019,3,11,0
ZA,2019-03-17,37,False,King Koil,own,2019,3,11,0
ZA,2019-03-17,33,False,sealy posturepedic,own,2019,3,11,0
ZA,2019-03-17,0,False,Forgeron,competitor_brand,2019,3,11,1
ZA,2019-03-17,27,False,Restonic,competitor_brand,2019,3,11,0
ZA,2019-03-17,24,False,Cloud 9,competitor_brand,2019,3,11,0
ZA,2019-03-17,0,False,Rest Assured,competitor_brand,2019,3,11,1
ZA,2019-03-17,0,False,Serta,competitor_brand,2019,3,11,1
ZA,2019-03-17,51,False,Simmons,competitor_brand,2019,3,11,0
ZA,2019-03-17,0,False,Tempur,competitor_brand,2019,3,11,1
ZA,2019-03-17,28,False,Dreamland,competitor_brand,2019,3,11,0
ZA,2019-03-17,0,False,Dunlopillo,competitor_brand,2019,3,11,1
ZA,2019-03-17,46,False,Forty Winks,competitor_brand,2019,3,11,0
ZA,2019-03-17,10,False,Sleepmasters,competitor_brand,2019,3,11,0
ZA,2019-03-24,57,False,Sealy,own,2019,3,12,0
ZA,2019-03-24,18,False,Edblo,own,2019,3,12,0
