brand,super_brand,area,2019,2020,2021
Cloud 9,competitor_brand,ZA,39.71153846153846,35.82692307692308,38.254901960784316
Dreamland,competitor_brand,ZA,11.653846153846153,18.23076923076923,10.96078431372549
Dunlopillo,competitor_brand,ZA,10.076923076923077,6.115384615384615,3.7254901960784315
Edblo,own,ZA,11.711538461538462,11.173076923076923,11.07843137254902
Forgeron,competitor_brand,ZA,5.3076923076923075,1.5576923076923077,2.588235294117647
Forty Winks,competitor_brand,ZA,7.980769230769231,15.057692307692308,17.50980392156863
King Koil,own,ZA,9.557692307692308,7.615384615384615,7.803921568627451
Rest Assured,competitor_brand,ZA,21.557692307692307,23.73076923076923,23.54901960784314
Restonic,competitor_brand,ZA,25.423076923076923,33.69230769230769,34.254901960784316
Sealy,own,ZA,40.19230769230769,48.32692307692308,51.15686274509804
Serta,competitor_brand,ZA,21.01923076923077,21.0,20.07843137254902
Simmons,competitor_brand,ZA,35.75,39.78846153846154,27.686274509803923
Sleepmasters,competitor_brand,ZA,20.173076923076923,38.71153846153846,33.05882352941177
Tempur,competitor_brand,ZA,23.115384615384617,18.173076923076923,16.058823529411764
sealy posturepedic,own,ZA,21.423076923076923,21.48076923076923,23.58823529411765
