area,date,interest,sealy,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2017-01-22,0,17,False,Dreamland,competitor_brand,2017,1,3,1
ZA,2017-01-22,0,17,False,Dunlopillo,competitor_brand,2017,1,3,1
ZA,2017-01-29,15,15,False,Sealy,own,2017,1,4,0
ZA,2017-01-29,0,15,False,Edblo,own,2017,1,4,1
ZA,2017-01-29,0,15,False,King Koil,own,2017,1,4,1
ZA,2017-01-29,0,15,False,King Coil,own,2017,1,4,1
ZA,2017-01-29,0,15,False,Slumber Land,own,2017,1,4,1
ZA,2017-01-29,0,15,False,sealy posturepedic,own,2017,1,4,1
ZA,2017-01-29,0,15,False,Slumberland,own,2017,1,4,1
ZA,2017-01-29,0,8,False,Ashleigh's,competitor_brand,2017,1,4,1
ZA,2017-01-29,0,8,False,Ashleighs,competitor_brand,2017,1,4,1
ZA,2017-01-29,0,8,False,Forgeron,competitor_brand,2017,1,4,1
ZA,2017-01-29,0,8,False,Restonic,competitor_brand,2017,1,4,1
ZA,2017-01-29,24,8,False,Cloud 9,competitor_brand,2017,1,4,0
ZA,2017-01-29,0,8,False,Cloud Nine,competitor_brand,2017,1,4,1
ZA,2017-01-29,0,8,False,Rest Assured,competitor_brand,2017,1,4,1
ZA,2017-01-29,0,8,False,Serta,competitor_brand,2017,1,4,1
ZA,2017-01-29,16,8,False,Simmons,competitor_brand,2017,1,4,0
ZA,2017-01-29,16,8,False,Tempur,competitor_brand,2017,1,4,0
ZA,2017-01-29,0,8,False,Dreamland,competitor_brand,2017,1,4,1
ZA,2017-01-29,0,8,False,Dunlopillo,competitor_brand,2017,1,4,1
ZA,2017-02-05,8,8,False,Sealy,own,2017,2,5,0
ZA,2017-02-05,0,8,False,Edblo,own,2017,2,5,1
ZA,2017-02-05,8,8,False,King Koil,own,2017,2,5,0
ZA,2017-02-05,0,8,False,King Coil,own,2017,2,5,1
ZA,2017-02-05,0,8,False,Slumber Land,own,2017,2,5,1
ZA,2017-02-05,0,8,False,sealy posturepedic,own,2017,2,5,1
ZA,2017-02-05,0,8,False,Slumberland,own,2017,2,5,1
ZA,2017-02-05,0,16,False,Ashleigh's,competitor_brand,2017,2,5,1
ZA,2017-02-05,0,16,False,Ashleighs,competitor_brand,2017,2,5,1
ZA,2017-02-05,0,16,False,Forgeron,competitor_brand,2017,2,5,1
ZA,2017-02-05,16,16,False,Restonic,competitor_brand,2017,2,5,0
ZA,2017-02-05,0,16,False,Cloud 9,competitor_brand,2017,2,5,1
ZA,2017-02-05,0,16,False,Cloud Nine,competitor_brand,2017,2,5,1
ZA,2017-02-05,0,16,False,Rest Assured,competitor_brand,2017,2,5,1
ZA,2017-02-05,0,16,False,Serta,competitor_brand,2017,2,5,1
ZA,2017-02-05,0,16,False,Simmons,competitor_brand,2017,2,5,1
ZA,2017-02-05,16,16,False,Tempur,competitor_brand,2017,2,5,0
ZA,2017-02-05,0,16,False,Dreamland,competitor_brand,2017,2,5,1
ZA,2017-02-05,0,16,False,Dunlopillo,competitor_brand,2017,2,5,1
ZA,2017-02-12,22,22,False,Sealy,own,2017,2,6,0
ZA,2017-02-12,0,22,False,Edblo,own,2017,2,6,1
ZA,2017-02-12,7,22,False,King Koil,own,2017,2,6,0
ZA,2017-02-12,0,22,False,King Coil,own,2017,2,6,1
ZA,2017-02-12,0,22,False,Slumber Land,own,2017,2,6,1
ZA,2017-02-12,7,22,False,sealy posturepedic,own,2017,2,6,0
ZA,2017-02-12,0,22,False,Slumberland,own,2017,2,6,1
ZA,2017-02-12,0,16,False,Ashleigh's,competitor_brand,2017,2,6,1
ZA,2017-02-12,0,16,False,Ashleighs,competitor_brand,2017,2,6,1
ZA,2017-02-12,0,16,False,Forgeron,competitor_brand,2017,2,6,1
ZA,2017-02-12,24,16,False,Restonic,competitor_brand,2017,2,6,0
ZA,2017-02-12,8,16,False,Cloud 9,competitor_brand,2017,2,6,0
ZA,2017-02-12,8,16,False,Cloud Nine,competitor_brand,2017,2,6,0
ZA,2017-02-12,0,16,False,Rest Assured,competitor_brand,2017,2,6,1
ZA,2017-02-12,8,16,False,Serta,competitor_brand,2017,2,6,0
ZA,2017-02-12,8,16,False,Simmons,competitor_brand,2017,2,6,0
ZA,2017-02-12,8,16,False,Tempur,competitor_brand,2017,2,6,0
ZA,2017-02-12,0,16,False,Dreamland,competitor_brand,2017,2,6,1
ZA,2017-02-12,8,16,False,Dunlopillo,competitor_brand,2017,2,6,0
ZA,2017-02-19,8,8,False,Sealy,own,2017,2,7,0
ZA,2017-02-19,8,8,False,Edblo,own,2017,2,7,0
ZA,2017-02-19,0,8,False,King Koil,own,2017,2,7,1
ZA,2017-02-19,0,8,False,King Coil,own,2017,2,7,1
ZA,2017-02-19,0,8,False,Slumber Land,own,2017,2,7,1
ZA,2017-02-19,0,8,False,sealy posturepedic,own,2017,2,7,1
ZA,2017-02-19,0,8,False,Slumberland,own,2017,2,7,1
ZA,2017-02-19,0,8,False,Ashleigh's,competitor_brand,2017,2,7,1
ZA,2017-02-19,0,8,False,Ashleighs,competitor_brand,2017,2,7,1
ZA,2017-02-19,0,8,False,Forgeron,competitor_brand,2017,2,7,1
ZA,2017-02-19,0,8,False,Restonic,competitor_brand,2017,2,7,1
ZA,2017-02-19,8,8,False,Cloud 9,competitor_brand,2017,2,7,0
ZA,2017-02-19,8,8,False,Cloud Nine,competitor_brand,2017,2,7,0
ZA,2017-02-19,0,8,False,Rest Assured,competitor_brand,2017,2,7,1
ZA,2017-02-19,0,8,False,Serta,competitor_brand,2017,2,7,1
ZA,2017-02-19,8,8,False,Simmons,competitor_brand,2017,2,7,0
ZA,2017-02-19,8,8,False,Tempur,competitor_brand,2017,2,7,0
ZA,2017-02-19,0,8,False,Dreamland,competitor_brand,2017,2,7,1
ZA,2017-02-19,0,8,False,Dunlopillo,competitor_brand,2017,2,7,1
ZA,2017-02-26,36,36,False,Sealy,own,2017,2,8,0
ZA,2017-02-26,0,36,False,Edblo,own,2017,2,8,1
ZA,2017-02-26,0,36,False,King Koil,own,2017,2,8,1
ZA,2017-02-26,0,36,False,King Coil,own,2017,2,8,1
ZA,2017-02-26,0,36,False,Slumber Land,own,2017,2,8,1
ZA,2017-02-26,0,36,False,sealy posturepedic,own,2017,2,8,1
ZA,2017-02-26,0,36,False,Slumberland,own,2017,2,8,1
ZA,2017-02-26,0,38,False,Ashleigh's,competitor_brand,2017,2,8,1
ZA,2017-02-26,0,38,False,Ashleighs,competitor_brand,2017,2,8,1
ZA,2017-02-26,0,38,False,Forgeron,competitor_brand,2017,2,8,1
ZA,2017-02-26,8,38,False,Restonic,competitor_brand,2017,2,8,0
ZA,2017-02-26,8,38,False,Cloud 9,competitor_brand,2017,2,8,0
ZA,2017-02-26,0,38,False,Cloud Nine,competitor_brand,2017,2,8,1
